match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,prop_id,agency
Chicago Cubs v Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,Player strikeouts,Jameson Taillon,Chicago Cubs,Philadelphia Phillies,2.5,1.11,776559,TAB
Chicago Cubs v Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,Player strikeouts,Jameson Taillon,Chicago Cubs,Philadelphia Phillies,3.5,1.32,776560,TAB
Chicago Cubs v Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,Player strikeouts,Jameson Taillon,Chicago Cubs,Philadelphia Phillies,4.5,1.7,776561,TAB
Chicago Cubs v Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,Player strikeouts,Jameson Taillon,Chicago Cubs,Philadelphia Phillies,5.5,2.4,776562,TAB
Chicago Cubs v Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,Player strikeouts,Jameson Taillon,Chicago Cubs,Philadelphia Phillies,6.5,3.6,776563,TAB
Chicago Cubs v Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,Player strikeouts,Jameson Taillon,Chicago Cubs,Philadelphia Phillies,7.5,6,776564,TAB
Chicago Cubs v Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,Player strikeouts,Jameson Taillon,Chicago Cubs,Philadelphia Phillies,8.5,11,776565,TAB
Chicago Cubs v Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,Player strikeouts,Jameson Taillon,Chicago Cubs,Philadelphia Phillies,9.5,26,776566,TAB
Chicago Cubs v Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,Player strikeouts,Jameson Taillon,Chicago Cubs,Philadelphia Phillies,10.5,67,776567,TAB
Kansas City Royals v Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,Player strikeouts,Alec Marsh,Kansas City Royals,Tampa Bay Rays,2.5,1.12,777843,TAB
Kansas City Royals v Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,Player strikeouts,Alec Marsh,Kansas City Royals,Tampa Bay Rays,3.5,1.35,777844,TAB
Kansas City Royals v Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,Player strikeouts,Alec Marsh,Kansas City Royals,Tampa Bay Rays,4.5,1.75,777845,TAB
Kansas City Royals v Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,Player strikeouts,Alec Marsh,Kansas City Royals,Tampa Bay Rays,5.5,2.5,777846,TAB
Kansas City Royals v Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,Player strikeouts,Alec Marsh,Kansas City Royals,Tampa Bay Rays,6.5,4,777847,TAB
Kansas City Royals v Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,Player strikeouts,Alec Marsh,Kansas City Royals,Tampa Bay Rays,7.5,7,777848,TAB
Kansas City Royals v Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,Player strikeouts,Alec Marsh,Kansas City Royals,Tampa Bay Rays,8.5,13,777849,TAB
Kansas City Royals v Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,Player strikeouts,Alec Marsh,Kansas City Royals,Tampa Bay Rays,9.5,34,777850,TAB
Kansas City Royals v Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,Player strikeouts,Zach Eflin,Tampa Bay Rays,Kansas City Royals,2.5,1.36,777873,TAB
Kansas City Royals v Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,Player strikeouts,Zach Eflin,Tampa Bay Rays,Kansas City Royals,3.5,1.85,777874,TAB
Kansas City Royals v Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,Player strikeouts,Zach Eflin,Tampa Bay Rays,Kansas City Royals,4.5,2.8,777875,TAB
Kansas City Royals v Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,Player strikeouts,Zach Eflin,Tampa Bay Rays,Kansas City Royals,5.5,4.75,777876,TAB
Kansas City Royals v Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,Player strikeouts,Zach Eflin,Tampa Bay Rays,Kansas City Royals,6.5,9,777877,TAB
Kansas City Royals v Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,Player strikeouts,Zach Eflin,Tampa Bay Rays,Kansas City Royals,7.5,21,777878,TAB
Kansas City Royals v Tampa Bay Rays,Kansas City Royals,Tampa Bay Rays,Player strikeouts,Zach Eflin,Tampa Bay Rays,Kansas City Royals,8.5,41,777879,TAB
