match,home_team,away_team,start_time,market_name,player_name,player_team,opposition_team,line,over_price,prop_id,agency,original_roster_name
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,C. Mize,NA,NA,7.5,9,780265,TAB,NA
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,C. Mize,NA,NA,8.5,21,780266,TAB,NA
Detroit Tigers v Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,2025-07-30 08:10:00,Pitcher Strikeouts,C. Mize,NA,NA,9.5,41,780267,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,M. Fried,NA,NA,2.5,1.04,780688,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,M. Fried,NA,NA,3.5,1.17,780689,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,M. Fried,NA,NA,4.5,1.4,780690,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,M. Fried,NA,NA,5.5,1.8,780691,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,M. Fried,NA,NA,6.5,2.5,780692,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,M. Fried,NA,NA,7.5,3.75,780693,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,M. Fried,NA,NA,8.5,6.5,780694,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,M. Fried,NA,NA,9.5,11,780695,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,M. Fried,NA,NA,10.5,26,780696,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,M. Fried,NA,NA,11.5,67,780697,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,J. Boyle,NA,NA,2.5,1.14,780658,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,J. Boyle,NA,NA,3.5,1.36,780659,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,J. Boyle,NA,NA,4.5,1.8,780660,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,J. Boyle,NA,NA,5.5,2.5,780661,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,J. Boyle,NA,NA,6.5,3.75,780662,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,J. Boyle,NA,NA,7.5,6,780663,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,J. Boyle,NA,NA,8.5,13,780664,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,J. Boyle,NA,NA,9.5,34,780665,TAB,NA
New York Yankees v Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2025-07-30 08:35:00,Pitcher Strikeouts,J. Boyle,NA,NA,10.5,67,780666,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,N. Lodolo,NA,NA,2.5,1.09,780902,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,N. Lodolo,NA,NA,3.5,1.28,780903,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,N. Lodolo,NA,NA,4.5,1.58,780904,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,N. Lodolo,NA,NA,5.5,2.15,780905,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,N. Lodolo,NA,NA,6.5,3.2,780906,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,N. Lodolo,NA,NA,7.5,5.25,780907,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,N. Lodolo,NA,NA,8.5,10,780908,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,N. Lodolo,NA,NA,9.5,19,780909,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,N. Lodolo,NA,NA,10.5,41,780910,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,T. Glasnow,NA,NA,3.5,1.05,780873,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,T. Glasnow,NA,NA,4.5,1.16,780874,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,T. Glasnow,NA,NA,5.5,1.36,780875,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,T. Glasnow,NA,NA,6.5,1.68,780876,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,T. Glasnow,NA,NA,7.5,2.25,780877,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,T. Glasnow,NA,NA,8.5,3.1,780878,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,T. Glasnow,NA,NA,9.5,4.75,780879,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,T. Glasnow,NA,NA,10.5,8.5,780880,TAB,NA
Cincinnati Reds v Los Angeles Dodgers,Cincinnati Reds,Los Angeles Dodgers,2025-07-30 08:40:00,Pitcher Strikeouts,T. Glasnow,NA,NA,11.5,15,780881,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Cannon,NA,NA,2.5,1.19,781330,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Cannon,NA,NA,3.5,1.5,781331,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Cannon,NA,NA,4.5,2.05,781332,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Cannon,NA,NA,5.5,3,781333,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Cannon,NA,NA,6.5,5,781334,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Cannon,NA,NA,7.5,9,781335,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Cannon,NA,NA,8.5,19,781336,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Cannon,NA,NA,9.5,41,781337,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Luzardo,NA,NA,3.5,1.06,781301,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Luzardo,NA,NA,4.5,1.2,781302,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Luzardo,NA,NA,5.5,1.45,781303,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Luzardo,NA,NA,6.5,1.8,781304,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Luzardo,NA,NA,7.5,2.5,781305,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Luzardo,NA,NA,8.5,3.75,781306,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Luzardo,NA,NA,9.5,6,781307,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Luzardo,NA,NA,10.5,10,781308,TAB,NA
Chicago White Sox v Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies,2025-07-30 09:10:00,Pitcher Strikeouts,J. Luzardo,NA,NA,11.5,19,781309,TAB,NA
Kansas City Royals v Atlanta Braves,Kansas City Royals,Atlanta Braves,2025-07-30 09:10:00,Pitcher Strikeouts,S. Lugo,NA,NA,2.5,1.11,781544,TAB,NA
Kansas City Royals v Atlanta Braves,Kansas City Royals,Atlanta Braves,2025-07-30 09:10:00,Pitcher Strikeouts,S. Lugo,NA,NA,3.5,1.32,781545,TAB,NA
Kansas City Royals v Atlanta Braves,Kansas City Royals,Atlanta Braves,2025-07-30 09:10:00,Pitcher Strikeouts,S. Lugo,NA,NA,4.5,1.7,781546,TAB,NA
Kansas City Royals v Atlanta Braves,Kansas City Royals,Atlanta Braves,2025-07-30 09:10:00,Pitcher Strikeouts,S. Lugo,NA,NA,5.5,2.3,781547,TAB,NA
Kansas City Royals v Atlanta Braves,Kansas City Royals,Atlanta Braves,2025-07-30 09:10:00,Pitcher Strikeouts,S. Lugo,NA,NA,6.5,3.6,781548,TAB,NA
Kansas City Royals v Atlanta Braves,Kansas City Royals,Atlanta Braves,2025-07-30 09:10:00,Pitcher Strikeouts,S. Lugo,NA,NA,7.5,6,781549,TAB,NA
Kansas City Royals v Atlanta Braves,Kansas City Royals,Atlanta Braves,2025-07-30 09:10:00,Pitcher Strikeouts,S. Lugo,NA,NA,8.5,11,781550,TAB,NA
Kansas City Royals v Atlanta Braves,Kansas City Royals,Atlanta Braves,2025-07-30 09:10:00,Pitcher Strikeouts,S. Lugo,NA,NA,9.5,23,781551,TAB,NA
Kansas City Royals v Atlanta Braves,Kansas City Royals,Atlanta Braves,2025-07-30 09:10:00,Pitcher Strikeouts,S. Lugo,NA,NA,10.5,51,781552,TAB,NA
Kansas City Royals v Atlanta Braves,Kansas City Royals,Atlanta Braves,2025-07-30 09:10:00,Pitcher Strikeouts,E. Fedde,NA,NA,2.5,1.5,781514,TAB,NA
Kansas City Royals v Atlanta Braves,Kansas City Royals,Atlanta Braves,2025-07-30 09:10:00,Pitcher Strikeouts,E. Fedde,NA,NA,3.5,2.15,781515,TAB,NA
