match,start_time,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,prop_id,under_prop_id,agency,original_roster_name
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Matt Olson,Atlanta Braves,Miami Marlins,1.5,5,NA,768023,NA,TAB,Matt Olson
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Michael Harris II,Atlanta Braves,Miami Marlins,1.5,5.5,NA,768024,NA,TAB,Michael Harris II
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Drake Baldwin,Atlanta Braves,Miami Marlins,1.5,6,NA,768026,NA,TAB,Drake Baldwin
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Ozzie Albies,Atlanta Braves,Miami Marlins,1.5,6.5,NA,768027,NA,TAB,Ozzie Albies
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Jurickson Profar,NA,NA,1.5,7,NA,768028,NA,TAB,NA
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Eli White,Atlanta Braves,Miami Marlins,1.5,7.5,NA,768029,NA,TAB,Eli White
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Nick Allen,Atlanta Braves,Miami Marlins,1.5,13,NA,768031,NA,TAB,Nick Allen
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Agustin Ramirez,Miami Marlins,Atlanta Braves,1.5,4.5,NA,768014,NA,TAB,Agustín Ramírez
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Kyle Stowers,Miami Marlins,Atlanta Braves,1.5,5,NA,768015,NA,TAB,Kyle Stowers
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Otto Lopez,Miami Marlins,Atlanta Braves,1.5,6,NA,768016,NA,TAB,Otto Lopez
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Jakob Marsee,NA,NA,1.5,7,NA,768019,NA,TAB,NA
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Liam Hicks,Miami Marlins,Atlanta Braves,1.5,7.5,NA,768020,NA,TAB,Liam Hicks
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Xavier Edwards,Miami Marlins,Atlanta Braves,1.5,8,NA,768021,NA,TAB,Xavier Edwards
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Graham Pauley,NA,NA,1.5,8.5,NA,768022,NA,TAB,NA
Atlanta Braves v Miami Marlins,2025-08-08 08:45:00,Atlanta Braves,Miami Marlins,Player RBIs,Troy Johnston,NA,NA,1.5,9,NA,768017,NA,TAB,NA
