match,home_team,away_team,start_time,player_name,player_team,opposition_team,line,over_price,under_price,market_name,agency
Detroit Tigers v Cleveland Guardians,Detroit Tigers,Cleveland Guardians,2025-05-25 08:45:00,Luis L. Ortiz,Cleveland Guardians,Detroit Tigers,4.5,1.65,2.05,Pitcher Strikeouts,Neds
Detroit Tigers v Cleveland Guardians,Detroit Tigers,Cleveland Guardians,2025-05-25 08:45:00,Luis L. Ortiz,Cleveland Guardians,Detroit Tigers,3.5,1.28,NA,Pitcher Strikeouts,Neds
Detroit Tigers v Cleveland Guardians,Detroit Tigers,Cleveland Guardians,2025-05-25 08:45:00,Luis L. Ortiz,Cleveland Guardians,Detroit Tigers,5.5,2.3,NA,Pitcher Strikeouts,Neds
Tampa Bay Rays v Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,2025-05-25 08:35:00,Jose Berrios,NA,NA,5.5,2.6,NA,Pitcher Strikeouts,Neds
Tampa Bay Rays v Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,2025-05-25 08:35:00,Jose Berrios,NA,NA,3.5,1.35,NA,Pitcher Strikeouts,Neds
Tampa Bay Rays v Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,2025-05-25 08:35:00,Jose Berrios,NA,NA,4.5,1.8,1.87,Pitcher Strikeouts,Neds
Tampa Bay Rays v Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,2025-05-25 08:35:00,Jose Berrios,NA,NA,6.5,4.2,NA,Pitcher Strikeouts,Neds
Tampa Bay Rays v Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,2025-05-25 08:35:00,Jose Berrios,NA,NA,2.5,1.1,NA,Pitcher Strikeouts,Neds
New York Mets v Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,2025-05-25 08:45:00,David Peterson,New York Mets,Los Angeles Dodgers,6.5,3.7,NA,Pitcher Strikeouts,Neds
New York Mets v Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,2025-05-25 08:45:00,David Peterson,New York Mets,Los Angeles Dodgers,3.5,1.3,NA,Pitcher Strikeouts,Neds
New York Mets v Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,2025-05-25 08:45:00,David Peterson,New York Mets,Los Angeles Dodgers,2.5,1.07,NA,Pitcher Strikeouts,Neds
New York Mets v Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,2025-05-25 08:45:00,David Peterson,New York Mets,Los Angeles Dodgers,5.5,2.4,NA,Pitcher Strikeouts,Neds
New York Mets v Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,2025-05-25 08:45:00,David Peterson,New York Mets,Los Angeles Dodgers,4.5,1.7,2,Pitcher Strikeouts,Neds
New York Mets v Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,2025-05-25 08:45:00,Tony Gonsolin,NA,NA,4.5,1.65,2.05,Pitcher Strikeouts,Neds
New York Mets v Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,2025-05-25 08:45:00,Tony Gonsolin,NA,NA,6.5,3.5,NA,Pitcher Strikeouts,Neds
New York Mets v Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,2025-05-25 08:45:00,Tony Gonsolin,NA,NA,3.5,1.28,NA,Pitcher Strikeouts,Neds
New York Mets v Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,2025-05-25 08:45:00,Tony Gonsolin,NA,NA,5.5,2.3,NA,Pitcher Strikeouts,Neds
Oakland Athletics v Philadelphia Phillies,Oakland Athletics,Philadelphia Phillies,2025-05-25 11:35:00,Cristopher Sanchez,NA,NA,6.5,2.25,NA,Pitcher Strikeouts,Neds
Oakland Athletics v Philadelphia Phillies,Oakland Athletics,Philadelphia Phillies,2025-05-25 11:35:00,Cristopher Sanchez,NA,NA,7.5,3.3,NA,Pitcher Strikeouts,Neds
Oakland Athletics v Philadelphia Phillies,Oakland Athletics,Philadelphia Phillies,2025-05-25 11:35:00,Cristopher Sanchez,NA,NA,5.5,1.67,2.05,Pitcher Strikeouts,Neds
Oakland Athletics v Philadelphia Phillies,Oakland Athletics,Philadelphia Phillies,2025-05-25 11:35:00,Cristopher Sanchez,NA,NA,3.5,1.1,NA,Pitcher Strikeouts,Neds
Oakland Athletics v Philadelphia Phillies,Oakland Athletics,Philadelphia Phillies,2025-05-25 11:35:00,Cristopher Sanchez,NA,NA,4.5,1.3,NA,Pitcher Strikeouts,Neds
Oakland Athletics v Philadelphia Phillies,Oakland Athletics,Philadelphia Phillies,2025-05-25 11:35:00,Jeffrey Springs,Athletics,Oakland Athletics,3.5,1.5,NA,Pitcher Strikeouts,Neds
Oakland Athletics v Philadelphia Phillies,Oakland Athletics,Philadelphia Phillies,2025-05-25 11:35:00,Jeffrey Springs,Athletics,Oakland Athletics,4.5,2.1,1.6400000000000001,Pitcher Strikeouts,Neds
Oakland Athletics v Philadelphia Phillies,Oakland Athletics,Philadelphia Phillies,2025-05-25 11:35:00,Jeffrey Springs,Athletics,Oakland Athletics,5.5,3.2,NA,Pitcher Strikeouts,Neds
Oakland Athletics v Philadelphia Phillies,Oakland Athletics,Philadelphia Phillies,2025-05-25 11:35:00,Jeffrey Springs,Athletics,Oakland Athletics,2.5,1.17,NA,Pitcher Strikeouts,Neds
New York Mets v Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,2025-05-25 08:45:00,Tony Gonsolin,NA,NA,4.5,1.6800000000000002,2.05,Pitcher Strikeouts,Neds
Detroit Tigers v Cleveland Guardians,Detroit Tigers,Cleveland Guardians,2025-05-25 08:45:00,Luis L. Ortiz,Cleveland Guardians,Detroit Tigers,4.5,1.6800000000000002,2.05,Pitcher Strikeouts,Neds
Tampa Bay Rays v Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,2025-05-25 08:35:00,Jose Berrios,NA,NA,4.5,1.83,1.87,Pitcher Strikeouts,Neds
New York Mets v Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,2025-05-25 08:45:00,David Peterson,New York Mets,Los Angeles Dodgers,4.5,1.73,2,Pitcher Strikeouts,Neds
Oakland Athletics v Philadelphia Phillies,Oakland Athletics,Philadelphia Phillies,2025-05-25 11:35:00,Cristopher Sanchez,NA,NA,5.5,1.7,2.05,Pitcher Strikeouts,Neds
Detroit Tigers v Cleveland Guardians,Detroit Tigers,Cleveland Guardians,2025-05-25 08:45:00,Casey Mize,Detroit Tigers,Cleveland Guardians,4.5,2.3,1.55,Pitcher Strikeouts,Neds
Los Angeles Angels v Miami Marlins,Los Angeles Angels,Miami Marlins,2025-05-25 11:37:00,Cal Quantrill,Miami Marlins,Los Angeles Angels,3.5,1.67,2.1,Pitcher Strikeouts,Neds
Boston Red Sox v Baltimore Orioles,Boston Red Sox,Baltimore Orioles,2025-05-25 08:05:00,Lucas Giolito,NA,NA,5.5,2.02,1.7,Pitcher Strikeouts,Neds
Tampa Bay Rays v Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,2025-05-25 08:35:00,Shane Baz,Tampa Bay Rays,Toronto Blue Jays,4.5,1.6800000000000002,2.05,Pitcher Strikeouts,Neds
Oakland Athletics v Philadelphia Phillies,Oakland Athletics,Philadelphia Phillies,2025-05-25 11:35:00,Jeffrey Springs,Athletics,Oakland Athletics,4.5,2.1,1.6400000000000001,Pitcher Strikeouts,Neds
Los Angeles Angels v Miami Marlins,Los Angeles Angels,Miami Marlins,2025-05-25 11:37:00,Jose Soriano,NA,NA,5.5,1.83,1.87,Pitcher Strikeouts,Neds
